測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38201090,2023/11/01,01,0,0,0.004,0.004,0.2,0.031,0.06,2.03,2.09,0,10,,E,2.2,,
38201090,2023/11/01,02,0,-,-,-,0.2,0.032,0.06,2.03,2.09,0,10,,ENE,1.8,,
38201090,2023/11/01,03,0,0,0.003,0.003,0.2,0.032,0.05,2.03,2.08,0,9,,ENE,1.6,,
38201090,2023/11/01,04,0,0,0.004,0.004,0.2,0.030,0.05,2.03,2.08,0.006,8,,ENE,1.9,,
38201090,2023/11/01,05,0,0,0.004,0.004,0.2,0.030,0.05,2.04,2.09,0,10,,ENE,2.0,,
38201090,2023/11/01,06,0,0,0.007,0.007,0.2,0.027,0.06,2.04,2.10,0.018,10,,ENE,1.9,,
38201090,2023/11/01,07,0,0,0.009,0.009,0.2,0.025,0.07,2.05,2.12,0,11,,ENE,1.9,,
38201090,2023/11/01,08,0,0.001,0.011,0.012,0.3,0.025,0.07,2.05,2.12,0.001,11,,E,2.2,,
38201090,2023/11/01,09,0.001,0.001,0.009,0.010,0.3,0.036,0.08,2.05,2.13,0.034,19,,E,2.2,,
38201090,2023/11/01,10,0.001,0.001,0.009,0.010,0.2,0.040,0.07,2.04,2.11,0,26,,SW,1.4,,
38201090,2023/11/01,11,0.001,0,0.007,0.007,0.2,0.050,0.07,2.04,2.11,0.001,25,,W,2.7,,
38201090,2023/11/01,12,0.001,0,0.005,0.005,0.2,0.058,0.07,2.04,2.11,0.018,20,,WSW,2.1,,
38201090,2023/11/01,13,0.001,0,0.005,0.005,0.1,0.061,0.06,2.03,2.09,0,24,,W,2.1,,
38201090,2023/11/01,14,0.001,0,0.005,0.005,0.1,0.064,0.06,2.03,2.09,0.018,22,,WSW,2.7,,
38201090,2023/11/01,15,0.001,0,0.005,0.005,0.1,0.066,0.54,2.03,2.57,0.022,18,,WSW,3.2,,
38201090,2023/11/01,16,0.001,0,0.004,0.004,0.1,0.067,0.07,2.03,2.10,0.004,2,,SW,3.5,,
38201090,2023/11/01,17,0.001,0,0.005,0.005,0.1,0.066,0.06,2.03,2.09,0.019,5,,SW,2.1,,
38201090,2023/11/01,18,0.001,0,0.006,0.006,0.1,0.060,0.12,2.03,2.15,0.014,16,,SSE,0.6,,
38201090,2023/11/01,19,0.001,0,0.011,0.011,0.2,0.046,0.16,2.04,2.20,0.027,13,,ESE,0.6,,
38201090,2023/11/01,20,0,0,0.008,0.008,0.2,0.041,0.09,2.03,2.12,0.017,10,,E,2.0,,
38201090,2023/11/01,21,0,0,0.007,0.007,0.2,0.038,0.07,2.02,2.09,0.015,7,,ENE,1.9,,
38201090,2023/11/01,22,0,0,0.006,0.006,0.1,0.036,0.06,2.02,2.08,0.007,10,,ENE,1.8,,
38201090,2023/11/01,23,0,0,0.005,0.005,0.1,0.035,0.07,2.02,2.09,0.011,10,,E,2.0,,
38201090,2023/11/01,24,0,0,0.005,0.005,0.1,0.035,0.06,2.03,2.09,0,13,,ENE,2.0,,
38201090,2023/11/02,01,0,0,0.005,0.005,0.2,0.033,0.06,2.03,2.09,0.016,11,,E,1.7,,
38201090,2023/11/02,02,0,0,0.004,0.004,0.1,0.035,0.05,2.03,2.08,0,12,,ENE,1.5,,
38201090,2023/11/02,03,0,0,0.003,0.003,0.2,0.037,0.05,2.03,2.08,0.003,10,,ENE,1.8,,
38201090,2023/11/02,04,0,0,0.005,0.005,0.2,0.034,0.05,2.04,2.09,0.008,14,,ENE,1.7,,
38201090,2023/11/02,05,0,0,0.007,0.007,0.2,0.031,0.05,2.04,2.09,0.007,12,,ENE,1.5,,
38201090,2023/11/02,06,0.001,0,0.007,0.007,0.2,0.032,0.05,2.04,2.09,0,12,,E,2.2,,
38201090,2023/11/02,07,0.001,0,0.009,0.009,0.2,0.030,0.06,2.03,2.09,0.001,11,,ENE,1.9,,
38201090,2023/11/02,08,0.001,0.001,0.012,0.013,0.3,0.028,0.08,2.04,2.12,0.014,11,,E,1.9,,
38201090,2023/11/02,09,0.001,0.002,0.014,0.016,0.3,0.030,0.10,2.03,2.13,0,17,,E,1.1,,
38201090,2023/11/02,10,0.001,0.001,0.013,0.014,0.2,0.037,0.08,2.02,2.10,0,27,,WSW,2.4,,
38201090,2023/11/02,11,0.001,0,0.007,0.007,0.1,0.045,0.07,2.00,2.07,0.023,24,,SW,3.2,,
38201090,2023/11/02,12,0.001,0,0.005,0.005,0.1,0.052,0.07,2.00,2.07,0.007,23,,WSW,2.9,,
38201090,2023/11/02,13,0.001,0,0.004,0.004,0.1,0.057,0.06,2.00,2.06,0.007,22,,WSW,2.8,,
38201090,2023/11/02,14,0.001,0,0.004,0.004,0.1,0.056,0.07,1.99,2.06,0.010,19,,WSW,3.3,,
38201090,2023/11/02,15,0.001,0,0.005,0.005,0.1,0.057,0.07,1.99,2.06,0.012,15,,WSW,2.9,,
38201090,2023/11/02,16,0.001,0,0.005,0.005,0.1,0.054,0.07,1.99,2.06,0,-1,,SW,2.5,,
38201090,2023/11/02,17,0.001,0,0.004,0.004,0,0.055,0.07,1.98,2.05,0.010,4,,SW,1.7,,
38201090,2023/11/02,18,0,0,0.007,0.007,0.1,0.052,0.08,1.99,2.07,0.012,7,,SSW,0.8,,
38201090,2023/11/02,19,0,0,0.009,0.009,0.1,0.043,0.20,2.00,2.20,0.032,11,,ESE,0.7,,
38201090,2023/11/02,20,0,0,0.010,0.010,0.2,0.033,0.09,2.00,2.09,0.023,12,,E,0.7,,
38201090,2023/11/02,21,0,0,0.007,0.007,0.1,0.033,0.11,2.01,2.12,0.003,11,,E,1.7,,
38201090,2023/11/02,22,0,0,0.006,0.006,0.1,0.035,0.09,2.01,2.10,0.001,9,,E,2.3,,
38201090,2023/11/02,23,0,0,0.005,0.005,0.1,0.034,0.09,2.02,2.11,0.002,13,,ENE,1.4,,
38201090,2023/11/02,24,0,0,0.005,0.005,0.1,0.034,0.09,2.03,2.12,0.003,12,,ENE,1.9,,
38201090,2023/11/03,01,0,0,0.004,0.004,0.1,0.035,0.08,2.03,2.11,0.010,14,,ENE,1.8,,
38201090,2023/11/03,02,0,0,0.004,0.004,0.1,0.037,0.07,2.03,2.10,0,15,,ENE,1.9,,
38201090,2023/11/03,03,0,0,0.004,0.004,0.1,0.036,0.08,2.04,2.12,0.009,14,,ENE,2.0,,
38201090,2023/11/03,04,0,0,0.004,0.004,0.1,0.036,0.07,2.04,2.11,0.026,15,,ENE,2.1,,
38201090,2023/11/03,05,0,0,0.005,0.005,0.1,0.033,0.07,2.04,2.11,0,14,,ENE,2.4,,
38201090,2023/11/03,06,0,0,0.005,0.005,0.1,0.034,0.07,2.04,2.11,0,11,,ENE,1.7,,
38201090,2023/11/03,07,0,0,0.006,0.006,0.2,0.033,0.08,2.04,2.12,0.020,10,,ENE,1.9,,
38201090,2023/11/03,08,0,0,0.008,0.008,0.2,0.033,0.08,2.04,2.12,0.004,16,,ENE,2.0,,
38201090,2023/11/03,09,0,0,0.006,0.006,0.2,0.041,0.07,2.03,2.10,0.004,18,,ENE,1.6,,
38201090,2023/11/03,10,0.001,0,0.006,0.006,0.1,0.049,0.08,2.02,2.10,0.012,27,,NNE,1.0,,
38201090,2023/11/03,11,0.009,0.001,0.015,0.016,0.1,0.043,0.08,2.01,2.09,0.013,31,,WNW,1.5,,
38201090,2023/11/03,12,0.001,0.001,0.013,0.014,-,0.046,0.08,2.01,2.09,0.010,27,,NW,1.9,,
38201090,2023/11/03,13,0.001,0,0.008,0.008,0.2,0.057,0.08,2.00,2.08,0.003,24,,NW,1.7,,
38201090,2023/11/03,14,0.001,0,0.005,0.005,0.2,0.064,0.07,2.01,2.08,0.005,28,,NW,1.7,,
38201090,2023/11/03,15,0.001,0,0.004,0.004,0.2,0.068,0.07,2.01,2.08,0.019,21,,WNW,1.8,,
38201090,2023/11/03,16,0.001,0,0.004,0.004,0.2,0.069,0.06,2.00,2.06,0.014,5,,WSW,1.0,,
38201090,2023/11/03,17,0.001,0,0.004,0.004,0.2,0.067,0.06,2.01,2.07,0.028,5,,CALM,0.3,,
38201090,2023/11/03,18,0.001,0,0.006,0.006,0.2,0.060,0.07,2.00,2.07,0,12,,ENE,0.8,,
38201090,2023/11/03,19,0.003,0,0.013,0.013,0.3,0.046,0.11,2.01,2.12,0.028,18,,ENE,1.3,,
38201090,2023/11/03,20,0.001,0,0.009,0.009,0.3,0.043,0.12,2.03,2.15,0.011,22,,E,0.6,,
38201090,2023/11/03,21,0,0,0.009,0.009,0.3,0.036,0.11,2.03,2.14,0.030,22,,E,1.5,,
38201090,2023/11/03,22,0,0,0.009,0.009,0.3,0.033,0.11,2.04,2.15,0.019,21,,E,1.2,,
38201090,2023/11/03,23,0,0,0.006,0.006,0.2,0.040,0.09,2.04,2.13,0,19,,E,1.9,,
38201090,2023/11/03,24,0,0,0.006,0.006,0.2,0.035,0.09,2.03,2.12,0.011,18,,ENE,2.7,,
38201090,2023/11/04,01,0,0,0.004,0.004,0.2,0.035,0.08,2.03,2.11,0.028,18,,E,2.2,,
38201090,2023/11/04,02,0,0,0.004,0.004,0.2,0.037,0.07,2.03,2.10,0,16,,E,2.2,,
38201090,2023/11/04,03,0,0,0.004,0.004,0.2,0.036,0.07,2.03,2.10,0.028,17,,ENE,2.2,,
38201090,2023/11/04,04,0,0,0.003,0.003,0.2,0.040,0.06,2.03,2.09,0.002,15,,E,2.6,,
38201090,2023/11/04,05,0,0,0.004,0.004,0.2,0.040,0.06,2.03,2.09,0,14,,ENE,2.1,,
38201090,2023/11/04,06,0,0,0.004,0.004,0.2,0.046,0.06,2.03,2.09,0.003,13,,ENE,2.3,,
38201090,2023/11/04,07,0,0,0.006,0.006,0.2,0.038,0.07,2.03,2.10,0,16,,E,2.4,,
38201090,2023/11/04,08,0,0,0.007,0.007,0.2,0.033,0.10,2.03,2.13,0.016,12,,ENE,2.1,,
38201090,2023/11/04,09,0,0.001,0.009,0.010,0.2,0.035,0.09,2.03,2.12,0.003,20,,E,1.7,,
38201090,2023/11/04,10,0,0,0.007,0.007,0.2,0.060,0.07,2.01,2.08,0.022,25,,NE,1.2,,
38201090,2023/11/04,11,0.003,0.001,0.010,0.011,0.2,0.048,0.08,2.00,2.08,0,32,,NW,1.6,,
38201090,2023/11/04,12,0.004,0,0.008,0.008,0.2,0.050,0.08,2.00,2.08,0.015,25,,N,3.6,,
38201090,2023/11/04,13,0.022,0.001,0.017,0.018,0.2,0.048,0.08,2.00,2.08,0.049,23,,N,2.0,,
38201090,2023/11/04,14,0.013,0,0.012,0.012,0.2,0.053,0.07,2.01,2.08,0.031,24,,NNW,2.5,,
38201090,2023/11/04,15,0.015,0,0.012,0.012,0.2,0.048,0.07,2.01,2.08,0.025,26,,NNE,2.2,,
38201090,2023/11/04,16,0.004,0,0.006,0.006,0.2,0.049,0.07,1.99,2.06,0.010,18,,NE,1.9,,
38201090,2023/11/04,17,0.001,0,0.004,0.004,0.2,0.052,0.07,2.00,2.07,0.005,16,,NE,1.3,,
38201090,2023/11/04,18,0.001,0,0.006,0.006,0.2,0.051,0.08,2.01,2.09,0.017,20,,SE,0.5,,
38201090,2023/11/04,19,0.001,0,0.006,0.006,0.2,0.059,0.08,2.02,2.10,0.017,25,,SE,1.6,,
38201090,2023/11/04,20,0.001,0,0.007,0.007,0.2,0.056,0.09,2.03,2.12,0.047,26,,E,1.0,,
38201090,2023/11/04,21,0.001,0,0.006,0.006,0.2,0.054,0.10,2.03,2.13,0.046,24,,E,1.5,,
38201090,2023/11/04,22,0,0,0.006,0.006,0.2,0.044,0.09,2.03,2.12,0.021,22,,ENE,1.3,,
38201090,2023/11/04,23,0,0,0.005,0.005,0.2,0.038,0.09,2.03,2.12,0,20,,E,1.7,,
38201090,2023/11/04,24,0,0,0.005,0.005,0.2,0.033,0.08,2.02,2.10,0,18,,ENE,1.6,,
38201090,2023/11/05,01,0,0,0.004,0.004,0.1,0.041,0.07,2.02,2.09,0,19,,E,2.5,,
38201090,2023/11/05,02,0,0,0.003,0.003,0.2,0.047,0.07,2.03,2.10,0.024,18,,ENE,2.2,,
38201090,2023/11/05,03,0,0,0.004,0.004,0.1,0.056,0.07,2.03,2.10,0.013,16,,ENE,2.2,,
38201090,2023/11/05,04,0,0,0.004,0.004,0.2,0.045,0.07,2.03,2.10,0.020,18,,ENE,2.0,,
38201090,2023/11/05,05,0,0,0.004,0.004,0.2,0.046,0.07,2.04,2.11,0.002,18,,ENE,1.9,,
38201090,2023/11/05,06,0,0,0.004,0.004,0.2,0.039,0.07,2.03,2.10,0.006,17,,ENE,1.2,,
38201090,2023/11/05,07,0.001,0,0.005,0.005,0.2,0.045,0.07,2.03,2.10,0.019,19,,E,1.2,,
38201090,2023/11/05,08,0.001,0,0.006,0.006,0.2,0.048,0.07,2.03,2.10,0.009,19,,E,1.6,,
38201090,2023/11/05,09,0.001,0,0.006,0.006,0.3,0.058,0.09,2.04,2.13,0.008,27,,ENE,1.5,,
38201090,2023/11/05,10,0.002,0,0.006,0.006,0.2,0.061,0.09,2.03,2.12,0.021,38,,N,1.1,,
38201090,2023/11/05,11,0.016,0.001,0.014,0.015,0.2,0.045,0.08,2.02,2.10,0.015,38,,NNW,2.7,,
38201090,2023/11/05,12,0.002,0,0.006,0.006,0.3,0.050,0.08,2.03,2.11,0.033,42,,NW,1.9,,
38201090,2023/11/05,13,0.002,0,0.006,0.006,0.3,0.056,0.08,2.03,2.11,0.033,37,,NW,2.1,,
38201090,2023/11/05,14,0.024,0.001,0.016,0.017,0.3,0.048,0.09,2.03,2.12,0,39,,N,3.4,,
38201090,2023/11/05,15,0.020,0.001,0.014,0.015,0.3,0.057,0.08,2.03,2.11,0.026,30,,NNW,3.3,,
38201090,2023/11/05,16,0.003,0,0.008,0.008,0.2,0.063,0.07,2.02,2.09,0.018,17,,NW,1.6,,
38201090,2023/11/05,17,0.003,0,0.009,0.009,0.2,0.058,0.07,2.02,2.09,0,19,,NW,0.5,,
38201090,2023/11/05,18,0.003,0,0.010,0.010,0.2,0.051,0.08,2.03,2.11,0.036,23,,CALM,0.3,,
38201090,2023/11/05,19,0.001,0,0.012,0.012,0.3,0.041,0.10,2.03,2.13,0.024,22,,SSE,0.5,,
38201090,2023/11/05,20,0.001,0,0.014,0.014,0.3,0.034,0.12,2.04,2.16,0.010,27,,ESE,0.6,,
38201090,2023/11/05,21,0.001,0,0.013,0.013,0.3,0.034,0.14,2.05,2.19,0.016,30,,ESE,0.4,,
38201090,2023/11/05,22,0.001,0,0.012,0.012,0.3,0.031,0.15,2.05,2.20,0.019,27,,CALM,0.2,,
38201090,2023/11/05,23,0,0,0.009,0.009,0.2,0.027,0.16,2.05,2.21,0.035,24,,SE,0.5,,
38201090,2023/11/05,24,0,0,0.008,0.008,0.2,0.024,0.12,2.04,2.16,0.014,17,,NE,0.4,,
38201090,2023/11/06,01,0,0,0.009,0.009,0.2,0.019,0.14,2.03,2.17,0.029,14,,SE,0.4,,
38201090,2023/11/06,02,0,0,0.009,0.009,0.2,0.018,0.12,2.04,2.16,0,17,,CALM,0,,
38201090,2023/11/06,03,0,0,0.009,0.009,0.2,0.016,0.13,2.04,2.17,0.009,19,,E,1.2,,
38201090,2023/11/06,04,0,0,0.011,0.011,0.2,0.014,0.15,2.08,2.23,0.008,13,,ESE,0.7,,
38201090,2023/11/06,05,0,0,0.010,0.010,0.2,0.014,0.13,2.05,2.18,0.006,11,,SE,0.9,,
38201090,2023/11/06,06,0,0,0.010,0.010,0.1,0.014,0.09,2.03,2.12,0.003,8,,ENE,1.1,,
38201090,2023/11/06,07,0,0.001,0.013,0.014,0.2,0.013,0.10,2.01,2.11,0.010,7,,SE,0.9,,
38201090,2023/11/06,08,0,0.002,0.016,0.018,0.2,0.011,0.18,2.02,2.20,0.024,13,,N,0.4,,
38201090,2023/11/06,09,0,0.009,0.023,0.032,0.4,0.007,0.29,2.02,2.31,0,11,,WSW,1.7,,
38201090,2023/11/06,10,0,0.001,0.008,0.009,0.1,0.026,0.11,1.97,2.08,0.003,8,,SSW,2.6,,
38201090,2023/11/06,11,0.001,0.001,0.006,0.007,0.1,0.028,0.08,1.96,2.04,0.010,18,,W,1.7,,
38201090,2023/11/06,12,0,0,0.005,0.005,0.1,0.027,0.13,1.96,2.09,0.003,-4,,SSW,3.8,,
38201090,2023/11/06,13,0,0,0.003,0.003,0.1,0.031,0.08,1.95,2.03,0,19,,SW,2.9,,
38201090,2023/11/06,14,-,-,-,-,-,-,-,-,-,-,-,,SW,4.5,,
38201090,2023/11/06,15,-,-,-,-,-,-,-,-,-,-,-,,S,1.6,,
38201090,2023/11/06,16,0,0,0.005,0.005,0.1,0.027,0.10,1.92,2.02,0.008,9,,SSW,1.1,,
38201090,2023/11/06,17,0,0,0.004,0.004,0.1,0.027,0.09,1.93,2.02,0.010,10,,SSW,3.9,,
38201090,2023/11/06,18,0,0,0.005,0.005,0.1,0.026,0.08,1.93,2.01,0.025,3,,SSW,4.5,,
38201090,2023/11/06,19,0.001,0,0.009,0.009,0.1,0.023,0.08,1.94,2.02,0.018,10,,W,3.8,,
38201090,2023/11/06,20,0,0,0.005,0.005,0.3,0.032,0.09,2.03,2.12,0.016,-5,,WSW,4.1,,
38201090,2023/11/06,21,0,0,0.005,0.005,0.2,0.032,0.09,2.03,2.12,0.013,9,,SW,3.9,,
38201090,2023/11/06,22,0,0,0.005,0.005,0.3,0.032,0.09,2.03,2.12,0.025,8,,WSW,4.0,,
38201090,2023/11/06,23,0,0,0.003,0.003,0.2,0.033,0.08,2.03,2.11,0.008,10,,WSW,4.2,,
38201090,2023/11/06,24,0,0,0.003,0.003,0.3,0.036,0.08,2.02,2.10,0.006,10,,WSW,5.2,,
38201090,2023/11/07,01,0,0,0.005,0.005,0.2,0.038,0.08,2.02,2.10,0.011,11,,W,4.0,,
38201090,2023/11/07,02,0,0,0.005,0.005,0.2,0.038,0.08,2.02,2.10,0.011,11,,W,4.5,,
38201090,2023/11/07,03,0,0,0.004,0.004,0.2,0.038,0.07,2.01,2.08,0.001,11,,W,4.1,,
38201090,2023/11/07,04,0,0,0.003,0.003,0.1,0.037,0.06,2.00,2.06,0.015,11,,W,3.8,,
38201090,2023/11/07,05,0,0,0.003,0.003,0.1,0.038,0.06,2.00,2.06,0.020,10,,W,3.4,,
38201090,2023/11/07,06,0,0,0.002,0.002,0.1,0.038,0.06,2.00,2.06,0.019,11,,W,2.4,,
38201090,2023/11/07,07,0,0,0.002,0.002,0.2,0.036,0.06,2.01,2.07,0,14,,W,3.6,,
38201090,2023/11/07,08,0,0,0.003,0.003,0.2,0.034,0.06,2.01,2.07,0.012,14,,WNW,2.4,,
38201090,2023/11/07,09,0,0,0.003,0.003,0.2,0.037,0.06,2.01,2.07,0.013,12,,WNW,2.4,,
38201090,2023/11/07,10,0,0,0.003,0.003,0.2,0.038,0.06,2.01,2.07,0.020,21,,W,2.8,,
38201090,2023/11/07,11,0,0,0.004,0.004,0.1,0.039,0.06,2.02,2.08,0.025,17,,W,4.1,,
38201090,2023/11/07,12,0,0,0.004,0.004,0.1,0.040,0.06,2.02,2.08,0.002,20,,W,4.5,,
38201090,2023/11/07,13,0,0,0.004,0.004,0.1,0.042,0.06,2.01,2.07,0,21,,WNW,2.4,,
38201090,2023/11/07,14,0,0,0.003,0.003,0.1,0.043,0.06,2.01,2.07,0.017,24,,W,2.2,,
38201090,2023/11/07,15,0,0,0.003,0.003,0.1,0.045,0.06,2.01,2.07,0.004,18,,SW,2.7,,
38201090,2023/11/07,16,0,0,0.003,0.003,0.1,0.045,0.06,2.01,2.07,0.022,7,,SSW,2.2,,
38201090,2023/11/07,17,0,0,0.004,0.004,0.1,0.043,0.06,2.01,2.07,0.017,5,,SW,0.6,,
38201090,2023/11/07,18,0,0,0.005,0.005,0.1,0.040,0.08,2.00,2.08,0.027,9,,W,0.8,,
38201090,2023/11/07,19,0,0,0.007,0.007,0.2,0.034,0.08,2.01,2.09,0.029,10,,E,2.0,,
38201090,2023/11/07,20,0,0,0.007,0.007,0.2,0.028,0.08,2.01,2.09,0.025,6,,E,1.2,,
38201090,2023/11/07,21,0,0,0.007,0.007,0.2,0.030,0.08,2.01,2.09,0,12,,NE,1.3,,
38201090,2023/11/07,22,0,0,0.006,0.006,0.2,0.037,0.09,2.02,2.11,0.013,9,,S,1.0,,
38201090,2023/11/07,23,0,0,0.007,0.007,0.2,0.026,0.09,2.03,2.12,0,11,,ESE,1.3,,
38201090,2023/11/07,24,0,0,0.006,0.006,0.2,0.024,0.09,2.03,2.12,0,10,,ENE,1.3,,
38201090,2023/11/08,01,0,0,0.005,0.005,0.2,0.025,0.08,2.03,2.11,0.019,10,,ENE,1.1,,
38201090,2023/11/08,02,0,-,-,-,0.2,0.021,0.08,2.03,2.11,0.012,12,,ENE,0.5,,
38201090,2023/11/08,03,0,0,0.006,0.006,0.2,0.018,0.08,2.04,2.12,0,10,,SE,0.5,,
38201090,2023/11/08,04,0,0,0.008,0.008,0.2,0.018,0.09,2.05,2.14,0.013,10,,NE,0.5,,
38201090,2023/11/08,05,0,0,0.008,0.008,0.2,0.014,0.08,2.04,2.12,0,9,,CALM,0.3,,
38201090,2023/11/08,06,0,0.001,0.011,0.012,0.2,0.010,0.08,2.05,2.13,0,7,,CALM,0.3,,
38201090,2023/11/08,07,0,0.001,0.013,0.014,0.3,0.010,0.09,2.05,2.14,0.002,7,,ENE,1.7,,
38201090,2023/11/08,08,0,0.002,0.011,0.013,0.3,0.016,0.08,2.04,2.12,0.003,7,,E,1.3,,
38201090,2023/11/08,09,0.001,0.002,0.010,0.012,0.3,0.028,0.07,2.03,2.10,0.007,17,,ESE,1.2,,
38201090,2023/11/08,10,0.001,0.001,0.007,0.008,0.3,0.038,0.06,2.02,2.08,0,17,,NE,1.2,,
38201090,2023/11/08,11,0.014,0.003,0.016,0.019,0.2,0.033,0.08,2.02,2.10,0.025,20,,NNW,1.4,,
